security,file,rank_1,rank_2,rank_3
NVDA,NVDA_2023_10-K.html,oil_exposure,,
NVDA,NVDA_2023_10-K.html,oil_exposure,,
NVDA,NVDA_2023_10-K.html,oil_exposure,,
NVDA,NVDA_2023_10-K.html,oil_exposure,,
NVDA,NVDA_2023_10-K.html,oil_exposure,,
NVDA,NVDA_2023_10-K.html,oil_exposure,,
NVDA,NVDA_2023_10-K.html,oil_exposure,,
NVDA,NVDA_2023_10-K.html,oil_exposure,,
NVDA,NVDA_2023_10-K.html,oil_exposure,,
NVDA,NVDA_2023_10-K.html,oil_exposure,,
NVDA,NVDA_2023_10-K.html,oil_exposure,,
NVDA,NVDA_2023_10-K.html,oil_exposure,,
NVDA,NVDA_2023_10-K.html,oil_exposure,,
NVDA,NVDA_2023_10-K.html,oil_exposure,,
NVDA,NVDA_2023_10-K.html,oil_exposure,,
NVDA,NVDA_2023_10-K.html,oil_exposure,,
NVDA,NVDA_2023_10-K.html,oil_exposure,,
NVDA,NVDA_2023_10-K.html,oil_exposure,,
NVDA,NVDA_2023_10-K.html,oil_exposure,,
NVDA,NVDA_2023_10-K.html,oil_exposure,,
NVDA,NVDA_2023_10-K.html,oil_exposure,,
NVDA,NVDA_2023_10-K.html,oil_exposure,,
NVDA,NVDA_2023_10-K.html,oil_exposure,,
PG,PG_2023_10-K.html,oil_exposure,,
PG,PG_2023_10-K.html,oil_exposure,,
PG,PG_2023_10-K.html,oil_exposure,,
PG,PG_2023_10-K.html,oil_exposure,,
PG,PG_2023_10-K.html,oil_exposure,,
PG,PG_2023_10-K.html,oil_exposure,,
PG,PG_2023_10-K.html,oil_exposure,,
PG,PG_2023_10-K.html,oil_exposure,,
PG,PG_2023_10-K.html,oil_exposure,,
PG,PG_2023_10-K.html,oil_exposure,,
PG,PG_2023_10-K.html,oil_exposure,,
PG,PG_2023_10-K.html,oil_exposure,,
PG,PG_2023_10-K.html,oil_exposure,,
PG,PG_2023_10-K.html,oil_exposure,,
