symbol,year,sentiment_mdna,sentiment_outlook,forward_ratio,hedge_ratio,optimism_score
SOJF,2023,-0.2732,0.2329,1.0,0.091,0.16165
CHTR,2023,-0.2732,0.2518,1.0,0.141,0.1611
CTSH,2023,-0.2732,0.2612,1.0,0.17,0.16
GEHC,2023,-0.2732,0.2631,1.0,0.186,0.15775
UAL,2023,-0.2732,0.2586,1.0,0.196,0.1535
PG,2023,-0.2732,0.2405,1.0,0.151,0.15345
FAST,2023,-0.2732,0.2249,1.0,0.115,0.15285
NRG,2023,-0.2732,0.2242,1.0,0.124,0.1507
ROST,2023,-0.2732,0.2201,1.0,0.117,0.15005
KKR-PD,2023,-0.2732,0.2805,1.0,0.272,0.14925
KEYS,2023,-0.2732,0.2412,1.0,0.189,0.1462
A,2023,-0.2732,0.2266,1.0,0.153,0.1461
JCI,2023,0.0,0.0618,1.0,0.427,0.1455
CSX,2023,-0.2732,0.2416,1.0,0.196,0.145
WMT,2023,-0.2732,0.2203,1.0,0.151,0.14335
RCL,2023,-0.2732,0.2017,1.0,0.11,0.14225
CTVA,2023,-0.2732,0.2077,1.0,0.133,0.14065
PNC,2023,-0.2633,0.2022,1.0,0.146,0.14025
AMT,2023,-0.3182,0.2657,1.0,0.169,0.13995
CRM,2023,-0.2732,0.2504,1.0,0.246,0.1394
TTWO,2023,-0.2732,0.2447,1.0,0.234,0.13895
HLT,2023,-0.2732,0.2253,1.0,0.191,0.13785
GE,2023,-0.3182,0.2432,1.0,0.124,0.1377
NKE,2023,-0.2732,0.2311,1.0,0.212,0.13655
TFC-PR,2023,-0.2732,0.2013,1.0,0.138,0.13645
TSLA,2023,-0.2732,0.2468,1.0,0.252,0.1364
CP,2023,-0.2732,0.2002,1.0,0.136,0.1363
HPE-PC,2023,-0.2732,0.2208,1.0,0.207,0.1324
CVNA,2023,-0.2732,0.2419,1.0,0.26,0.13235
EME,2023,-0.2732,0.2238,1.0,0.217,0.1319
SREA,2023,-0.3182,0.2593,1.0,0.201,0.13035
ETN,2023,-0.2732,0.2056,1.0,0.19,0.1282
UNP,2023,-0.3182,0.222,1.0,0.13,0.1259
CMI,2023,-0.2732,0.1879,1.0,0.161,0.12515
APP,2023,-0.2732,0.2534,1.0,0.332,0.1237
BKNG,2023,-0.2732,0.2333,1.0,0.286,0.12285
CAH,2023,-0.2732,0.1763,1.0,0.152,0.12115
REGN,2023,-0.2732,0.2585,1.0,0.363,0.12005
KDP,2023,-0.2732,0.1925,1.0,0.199,0.11985
ADI,2023,-0.2732,0.2072,1.0,0.241,0.1188
ZS,2023,-0.2732,0.208,1.0,0.247,0.118
CELG-RI,2023,-0.2732,0.1864,1.0,0.196,0.1174
CARR,2023,-0.2732,0.2076,1.0,0.25,0.1172
FANG,2023,-0.2732,0.2072,1.0,0.255,0.116
LEN-B,2023,-0.2732,0.1655,1.0,0.152,0.11575
LLY,2023,-0.2732,0.1751,1.0,0.181,0.11475
EW,2023,-0.2732,0.1901,1.0,0.223,0.11385
ITW,2023,-0.2732,0.1758,1.0,0.195,0.1123
EQT,2023,-0.2732,0.2184,1.0,0.315,0.1096
CTAS,2023,-0.2732,0.2226,1.0,0.33,0.1087
TGT,2023,-0.2732,0.1482,1.0,0.145,0.1085
BX,2023,-0.3818,0.2958,1.0,0.246,0.1078
AJG,2023,-0.2258,0.1867,1.0,0.364,0.10765
CCI,2023,-0.2732,0.1828,1.0,0.237,0.1074
RKT,2023,-0.2732,0.2089,1.0,0.309,0.10605
KMB,2023,-0.2732,0.1723,1.0,0.218,0.10595
HPQ,2023,-0.2732,0.1681,1.0,0.231,0.10125
LHX,2023,-0.2732,0.1669,1.0,0.229,0.10105
OTIS,2023,-0.2732,0.1749,1.0,0.272,0.09645
NEMCL,2023,-0.3182,0.1812,1.0,0.184,0.0947
DAL,2023,-0.4278,0.2589,1.0,0.105,0.09455
MCHPP,2023,-0.2732,0.1504,1.0,0.232,0.0922
TRV,2023,-0.2732,0.1439,1.0,0.223,0.09075
ANET,2023,-0.2732,0.1548,1.0,0.252,0.0904
COR,2023,-0.2732,0.1686,1.0,0.288,0.0901
ALL-PJ,2023,-0.2732,0.1154,1.0,0.156,0.0899
RBLX,2023,-0.2732,0.1837,1.0,0.337,0.08785
DASH,2023,-0.2732,0.1896,1.0,0.375,0.0832
WEC,2023,-0.4278,0.2544,1.0,0.153,0.0827
ROP,2023,-0.2732,0.1406,1.0,0.263,0.0811
VEEV,2023,-0.3182,0.188,1.0,0.277,0.0795
NET,2023,-0.2732,0.1736,1.0,0.363,0.0776
NOC,2023,-0.3182,0.1548,1.0,0.211,0.0761
EQIX,2023,-0.2732,0.1463,1.0,0.32,0.07255
VST,2023,-0.4278,0.2211,1.0,0.185,0.05965
EOG,2023,-0.2732,0.0922,1.0,0.274,0.0547
LVS,2023,-0.4278,0.212,1.0,0.225,0.0471
MPWR,2023,-0.2732,0.0993,1.0,0.339,0.04525
INSM,2023,-0.4278,0.2183,1.0,0.261,0.04305
VTR,2023,-0.296,0.2479,1.0,0.667,0.04255
PCG-PX,2023,-0.4363,0.1785,1.0,0.149,0.0413
MCO,2023,-0.5106,0.2422,1.0,0.152,0.0354
AVB,2023,-0.4278,0.1978,1.0,0.291,0.0268
GWW,2023,-0.4278,0.1312,1.0,0.16,0.0197
LCID,2023,-0.4278,0.1884,1.0,0.32,0.0163
AXP,2023,-0.5106,0.1885,1.0,0.212,-0.00345
HIG-PG,2023,-0.4278,0.0822,1.0,0.17,-0.0068
LPLA,2023,-0.6249,0.2731,1.0,0.197,-0.0153
ACGLN,2023,-0.4278,0.0621,1.0,0.186,-0.02005
PPL,2023,-0.5719,0.1443,1.0,0.243,-0.0624
SYF-PA,2023,-0.694,0.2431,1.0,0.218,-0.06905
COF-PN,2023,-0.7269,0.2179,1.0,0.186,-0.0917
AIG,2023,-0.5267,0.1864,1.0,1.0,-0.17015
